"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8426","Checkout Test - Dataset 3","chromium","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","4051","Inventory validation","firefox","2026-03-17","passed","2026-03-17","","products\inventory.spec.ts","",""
"","3507","Inventory validation","chromium","2026-03-17","passed","2026-03-17","","products\inventory.spec.ts","",""
"","9730","Checkout Test - Dataset 1","webkit","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","9811","@smoke Add product to cart","firefox","2026-03-17","passed","2026-03-17","","cart\cart.spec.ts","",""
"","9509","Checkout Test - Dataset 3","firefox","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","8408","Login Test","firefox","2026-03-17","passed","2026-03-17","","auth\login.spec.ts","",""
"","7189","@smoke Add product to cart","webkit","2026-03-17","passed","2026-03-17","","cart\cart.spec.ts","",""
"","6591","Login Test","webkit","2026-03-17","passed","2026-03-17","","auth\login.spec.ts","",""
"","11728","Checkout should fail if first name is empty","firefox","2026-03-17","passed","2026-03-17","","checkout\checkout-negative.spec.ts","",""
"","11211","@smoke Add product to cart","chromium","2026-03-17","passed","2026-03-17","","cart\cart.spec.ts","",""
"","13223","Checkout should fail if first name is empty","chromium","2026-03-17","passed","2026-03-17","","checkout\checkout-negative.spec.ts","",""
"","9433","Checkout Test - Dataset 2","firefox","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","9725","Checkout Test - Dataset 1","firefox","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","8417","Checkout Test - Dataset 2","chromium","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","8511","Checkout Test - Dataset 1","chromium","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","9653","Checkout Test - Dataset 2","webkit","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","9347","Checkout should fail if first name is empty","webkit","2026-03-17","passed","2026-03-17","","checkout\checkout-negative.spec.ts","",""
"","9663","Checkout Test - Dataset 3","webkit","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","3790","Inventory validation","webkit","2026-03-17","passed","2026-03-17","","products\inventory.spec.ts","",""
"","11057","Login Test","chromium","2026-03-17","passed","2026-03-17","","auth\login.spec.ts","",""
